,apps,assists,fouls_commited,fouls_suffered,goals,minutes,offsides,own_goals,penalties_in,penalties_mi,red_cards,yellow_cards
Christophe Jallet,6,0,9,2,0,540,1,0,0,0,0,0
Christos Kontis,3,0,4,6,0,270,0,0,0,0,0,0
Christos Patsatzoglou,3,0,5,1,0,270,1,0,0,0,0,0
Chrysostomos Michail,2,0,0,1,0,180,0,0,0,0,0,0
Cicinho,4,1,2,5,0,360,0,0,0,0,0,0
Cihan Haspolatlı,1,0,4,1,0,90,0,0,0,0,0,0
Cillian Sheridan,4,0,3,6,0,360,3,0,0,0,0,0
Ciprian Marica,4,0,5,10,0,360,0,0,0,0,0,0
Ciprian Tătăruşanu,3,0,0,0,0,270,0,0,0,0,0,0
Ciro Immobile,2,0,2,5,0,180,2,0,0,0,0,0
Clarence Seedorf,18,3,13,28,0,1620,0,0,0,0,0,0
Claude Makelele,9,0,19,5,0,810,0,0,0,0,0,0
Claudemir,7,0,14,9,0,630,1,0,0,0,0,0
Claudio Bravo,2,0,0,1,0,180,0,0,0,0,0,0
Claudio Caçapa,1,0,3,0,0,90,0,0,0,0,0,0
Claudio Maldonado,3,1,6,2,0,270,0,0,0,0,0,0
Claudio Marchisio,15,1,20,10,0,1350,0,0,0,0,0,0
Claudio Pizarro,10,0,9,11,0,900,6,0,0,0,0,0
Clemens Fritz,10,1,13,8,0,900,0,0,0,0,0,0
Clemente Rodríguez,1,0,0,0,0,90,0,0,0,0,0,0
Cleyton,2,0,10,3,0,180,0,0,0,0,0,0
Cléber Santana,3,0,3,4,0,270,1,0,0,0,0,0
Clément Chantôme,3,1,2,3,0,270,0,0,0,0,0,0
Clément Grenier,1,1,3,2,0,90,0,0,0,0,0,0
Cléo,3,0,4,7,0,270,0,0,0,0,0,0
Colin Kazım Richards,2,0,6,6,0,180,1,0,0,0,0,0
Constantinos Charalambides,6,2,11,19,0,540,2,0,0,0,0,0
Cornel Cernea,1,0,0,0,0,90,0,0,0,0,0,0
Cornel Râpă,2,0,4,4,0,180,1,0,0,0,0,0
Cosmin Moţi,3,1,4,1,0,270,1,0,0,0,0,0
Costel Pantilimon,1,0,0,0,0,90,0,0,0,0,0,0
Coutinho,5,1,5,5,0,450,0,0,0,0,0,0
Craig Bellamy,2,0,2,2,0,180,1,0,0,0,0,0
Cris,17,3,19,18,0,1530,0,0,0,0,0,0
Cristian Ansaldi,9,1,20,11,0,810,1,0,0,0,0,0
Cristian Brocchi,3,1,4,3,0,270,0,0,0,0,0,0
Cristian Chivu,18,2,25,24,0,1620,0,0,0,0,0,0
Cristian Ledesma,8,0,13,7,0,720,0,0,0,0,0,0
Cristian Molinaro,5,0,3,6,0,450,1,0,0,0,0,0
Cristian Panin,4,0,10,1,0,360,0,0,0,0,0,0
Cristian Rodríguez,10,1,11,27,0,900,4,0,0,0,0,0
Cristian Sârghi,1,0,4,0,0,90,1,0,0,0,0,0
Cristian Săpunaru,6,1,13,6,0,540,0,0,0,0,0,0
Cristian Tello,4,1,1,3,0,360,7,0,0,0,0,0
Cristian Tănase,3,0,10,6,0,270,0,0,0,0,0,0
Cristian Zaccardo,1,0,1,4,0,90,0,0,0,0,0,0
Cristiano Lucarelli,3,0,3,7,0,270,1,0,0,0,0,0
